prose,poem
"Shall I, in my contemplation, truly compare thee to the fleeting beauty of a summer's day?",Shall I compare thee to a summer's day?
For thou art more lovely and more temperate than any transient thing nature can offer:,Thou art more lovely and more temperate:
"The rough winds do shake and disturb the darling buds of May with indifferent force,","Rough winds do shake the darling buds of May,"
"And summer's lease upon this world hath all too short a date, ending before we are prepared;",And summer's lease hath all too short a date;
"Sometime too hot and unrelenting the eye of heaven shines down upon us,","Sometime too hot the eye of heaven shines,"
And often is his gold complexion dimmed by the obscuring veil of clouds;,And often is his gold complexion dimmed;
"And every fair thing from its fair essence sometime declines into shadow,","And every fair from fair sometime declines,"
By chance or by nature's changing course left untrimmed and unguided;,By chance or nature's changing course untrimmed;
"But thy eternal summer, unlike all others, shall not fade into oblivion,","But thy eternal summer shall not fade,"
Nor shall thy being lose possession of that fair beauty thou ow'st to existence;,Nor lose possession of that fair thou ow'st;
"Nor shall death brag that thou wander'st helplessly in his cold shade,","Nor shall death brag thou wander'st in his shade,"
When in these eternal lines of verse thou grow'st bound to time itself:,When in eternal lines to time thou grow'st:
"So long as men can breathe the air of life or eyes can see the world,","So long as men can breathe or eyes can see,"
"So long lives this verse, and this enduring verse gives life to thee.","So long lives this, and this gives life to thee."
"Remember me, I implore thee, when I am gone away from this mortal world,","Remember me when I am gone away,"
Gone far away into the silent land of eternal stillness and absence;,Gone far away into the silent land;
"When you can no more hold me by the hand as you once did,","When you can no more hold me by the hand,"
Nor I half turn to go yet turning stay suspended between departure and presence.,Nor I half turn to go yet turning stay.
Remember me when no more day by day the rhythm of life brings us together,Remember me when no more day by day
And you tell me of our future and the life together that you plann'd:,You tell me of our future that you plann'd:
Only remember me in your quiet moments; you understand the weight of this,Only remember me; you understand
It will be late and futile to counsel then or pray for what cannot return.,It will be late to counsel then or pray.
Yet if you should forget me for a while in the necessary current of living,Yet if you should forget me for a while
"And afterwards remember my existence, do not grieve with unnecessary sorrow:","And afterwards remember, do not grieve:"
For if the darkness and corruption of time leave behind,For if the darkness and corruption leave
"A vestige, however faint, of the thoughts that once I had in living,","A vestige of the thoughts that once I had,"
Better by far that you should forget and smile at the world,Better by far you should forget and smile
Than that you should remember my absence and be sad with prolonged mourning.,Than that you should remember and be sad.
Let me not stand as obstacle to the marriage of true minds,Let me not to the marriage of true minds
And admit impediments to their union; for love is not love,Admit impediments; love is not love
"Which alters its nature when it alteration finds in circumstance,","Which alters when it alteration finds,"
"Or bends with the remover, yielding, to remove itself from difficulty.",Or bends with the remover to remove.
"O no, it is an ever-fixèd mark standing in the cosmos","O no, it is an ever-fixèd mark"
That looks on tempests and the violence of existence and is never shaken;,That looks on tempests and is never shaken;
It is the guiding star to every wandering bark adrift at sea,It is the star to every wandering bark
"Whose worth's unknown to human measure, although his height be taken by instruments.","Whose worth's unknown, although his height be taken."
"Love's not time's fool nor its servant, though rosy lips and cheeks","Love's not time's fool, though rosy lips and cheeks"
Must within his bending sickle's compass come to inevitable decay.,Within his bending sickle's compass come.
"Love alters not its fundamental nature with his brief hours and weeks,","Love alters not with his brief hours and weeks,"
But bears it out with endurance even to the very edge of doom:,But bears it out even to the edge of doom:
"If this be error in my understanding and upon me proved by truth,","If this be error and upon me proved,"
"Then I never writ a word of meaning, nor no man ever truly loved.","I never writ, nor no man ever loved."
When I see birches bend to left and right under the weight of existence,When I see birches bend to left and right
"Across the lines of straighter darker trees that stand without yielding,","Across the lines of straighter darker trees,"
I like to think some boy's been swinging them in innocent abandon.,I like to think some boy's been swinging them.
But swinging doesn't bend them down to stay in permanent submission,But swinging doesn't bend them down to stay
As ice-storms do with cold authority. Often you must have seen them,As ice-storms do. Often you must have seen them
"Loaded with ice on a sunny winter morning, burdened yet illuminated,",Loaded with ice a sunny winter morning
After a rain has passed. They click upon themselves in hollow percussion,After a rain. They click upon themselves
"As the breeze rises with quiet insistence, and turn many-colored","As the breeze rises, and turn many-colored"
As the stir of wind cracks and crazes their enamel with inevitable force.,As the stir cracks and crazes their enamel.
"Soon the sun's warmth, that indifferent force, makes them shed crystal shells",Soon the sun's warmth makes them shed crystal shells
Shattering and avalanching in cascades on the snow-crust below—,Shattering and avalanching on the snow-crust—
Such heaps of broken glass and ruin to sweep away from the earth,Such heaps of broken glass to sweep away
You'd think the inner dome of heaven itself had fallen to the ground.,You'd think the inner dome of heaven had fallen.
"They are dragged down to the withered bracken by the load of what they carry,","They are dragged to the withered bracken by the load,"
And they seem not to break under pressure; though once they are bowed,And they seem not to break; though once they are bowed
"So low for so long, they never right themselves to former grace:","So low for long, they never right themselves:"
You may see their trunks arching in quiet resignation in the woods,You may see their trunks arching in the woods
"Years afterwards, still trailing their leaves on the ground in surrender","Years afterwards, trailing their leaves on the ground"
Like girls on hands and knees that throw their hair forward,Like girls on hands and knees that throw their hair
Before them over their heads to dry in the indifferent warmth of the sun.,Before them over their heads to dry in the sun.
But I was going to say something deeper when Truth broke in,But I was going to say when Truth broke in
With all her matter-of-fact authority about the ice-storm,With all her matter-of-fact about the ice-storm
I should prefer to have some boy bend them through the will of play,I should prefer to have some boy bend them
As he went out and in through the rhythms of labor to fetch the cows—,As he went out and in to fetch the cows—
"Some boy too far from town and its conventions to learn baseball,","Some boy too far from town to learn baseball,"
"Whose only play was what he found himself in solitude,","Whose only play was what he found himself,"
"Summer or winter alike, and could play alone without need of others.","Summer or winter, and could play alone."
One by one he subdued his father's trees through patient persistence,One by one he subdued his father's trees
By riding them down over and over again in repeated acts of will,By riding them down over and over again
"Until he took the stiffness out of them through determined effort,","Until he took the stiffness out of them,"
"And not one but hung limp in surrender, not one was left standing","And not one but hung limp, not one was left"
For him to conquer. He learned all there was to know,For him to conquer. He learned all there was
To learn about not launching out too soon into the unknown,To learn about not launching out too soon
And so not carrying the tree away beyond the point of return,And so not carrying the tree away
Clear to the ground. He always kept his poise with deliberate grace,Clear to the ground. He always kept his poise
"To the very top branches, climbing carefully with philosophical patience","To the top branches, climbing carefully"
With the same pains and deliberate attention you use to fill a cup,With the same pains you use to fill a cup
"Up to the brim of its capacity, and even above the brim.","Up to the brim, and even above the brim."
"Then he flung outward into the void, feet first, with a swish,","Then he flung outward, feet first, with a swish,"
Kicking his way down through the resistant air to the waiting ground.,Kicking his way down through the air to the ground.
So was I once myself a swinger of birches in younger days.,So was I once myself a swinger of birches.
And so I dream of going back to be that free spirit once more.,And so I dream of going back to be.
"It's when I'm weary of endless considerations and their burden,","It's when I'm weary of considerations,"
And life is too much like a pathless wood without direction or meaning,And life is too much like a pathless wood
Where your face burns and tickles with the invisible cobwebs,Where your face burns and tickles with the cobwebs
"Broken across it by passage, and one eye is weeping involuntarily","Broken across it, and one eye is weeping"
From a twig's having lashed across it open without warning.,From a twig's having lashed across it open.
I'd like to get away from earth awhile and its accumulated weight,I'd like to get away from earth awhile
And then come back to it renewed and begin over with clarity.,And then come back to it and begin over.
May no fate willfully misunderstand me in its cold administration,May no fate willfully misunderstand me
And half grant what I wish yet snatch me away before completion,And half grant what I wish and snatch me away
Not to return. Earth's the right place for love and its unfolding:,Not to return. Earth's the right place for love:
