input,target,output,MA,SP,G
His tender heir might bear unto all men his memory most cherished and immortal.,His tender heir might bear his memory:,his tender heir might unto bear all men his memory most cherished and immortal,1.0,0.9941,0.1147
That tender heir of his might bear his memory forever in their heart and deed.,His tender heir might bear his memory:,that tender heir of his might bear his memory forever in their heart and deed,1.0,1.0,0.1369
"His memory, which his tender heir might bear with reverence, shall endure through ages.",His tender heir might bear his memory:,his which his tender heir might bear with memory reverence shall endure through ages,1.0,0.9869,0.119
"Thou art thyself thy foe, and to thy sweet self thou art too cruel in thy dealings.","Thyself thy foe, to thy sweet self too cruel:",thou art thy foe and to thy sweet self thyself thou art too cruel in thy dealings,1.0,0.9965,0.1598
"To thy own sweet self thou dost prove too cruel, being thyself thy very foe.","Thyself thy foe, to thy sweet self too cruel:",to thy own sweet self thou dost prove too cruel being thyself thy very foe,1.0,1.0,0.1444
Thyself thy foe—thus to thy sweet self art thou too cruel in this manner.,"Thyself thy foe, to thy sweet self too cruel:",foethus thy to thy sweet self art thou too thyself cruel in this manner,1.0,0.9833,0.1368
Where doth all the treasure of thy lusty days remain concealed?,Where all the treasure of thy lusty days;,where doth the treasure all of lusty thy days remain concealed,1.0,0.988,0.1301
"All the treasure of thy lusty days — where, prithee, doth it lie?",Where all the treasure of thy lusty days;,the treasure all of lusty thy days where prithee doth it lie,1.0,0.9836,0.1381
Where hath all the treasure of thy most lusty days been kept and stored?,Where all the treasure of thy lusty days;,where hath the treasure all of thy most lusty days been kept and stored,1.0,0.995,0.1497
"To say within thine own most deep and sunken eyes, what truth doth there conceal itself","To say, within thine own deep sunken eyes,",to say within thine own most deep and sunken eyes what truth doth there conceal itself,1.0,1.0,0.1518
"Within thine own deep sunken eyes, to say what mysteries and sorrows there do dwell","To say, within thine own deep sunken eyes,",within thine own deep sunken eyes to say what mysteries and sorrows there do dwell,1.0,1.0,0.1552
"To say what lies within thine own deep sunken eyes, those caverns dark and worn with grief","To say, within thine own deep sunken eyes,",to say what lies within thine own deep sunken eyes those caverns dark and worn with grief,1.0,1.0,0.1534
"It were an all-eating shame, and praise most thriftless, that doth consume all virtue.","Were an all-eating shame, and thriftless praise.",it were alleating an and shame praise most thriftless that doth consume all virtue,1.0,0.9911,0.1196
That which were an all-eating shame and thriftless praise would render thee most wretched.,"Were an all-eating shame, and thriftless praise.",that which alleating were and an thriftless shame praise would render thee most wretched,1.0,0.9836,0.112
"An all-eating shame it were, coupled with praise that is thriftless and doth squander all worth.","Were an all-eating shame, and thriftless praise.",alleating an shame it were coupled with praise that is thriftless and doth squander all worth,1.0,0.9874,0.1424
And thou shalt see thy blood warm when thou feelest it grow cold.,And see thy blood warm when thou feelest it cold.,and thou shalt see thy blood warm when thou feelest it grow cold,1.0,1.0,0.1638
