input,target,output,MA,SP,G,model
Of his self-love doth he wish to stop posterity?,Of his self-love to stop posterity?,of his selflove doth he wish to stop posterity,1.0,1.0,0.1368,DP Reorderer
"To stop posterity, his self-love—of what consequence is it?",Of his self-love to stop posterity?,to stop posterity selfloveof his what consequence is it,0.9,0.9774,0.105,DP Reorderer
"His self-love, whereby he doth of posterity seek to stop the course?",Of his self-love to stop posterity?,selflove his whereby he doth of seek posterity to stop the course,1.0,0.9493,0.1347,DP Reorderer
"Despite the wrinkles that doth mar thy countenance, this golden time of thine remaineth precious beyond measure.",Despite of wrinkles this thy golden time.,despite the wrinkles that doth mar thy countenance this golden time of thine remaineth precious beyond measure,1.0,1.0,0.1481,DP Reorderer
"This golden time of thine shall endure, despite of all the wrinkles that age may cruelly bestow upon thy form.",Despite of wrinkles this thy golden time.,this golden time of thine endure despite shall of all the wrinkles that age may cruelly bestow upon thy form,1.0,0.9935,0.1535,DP Reorderer
"Despise not the wrinkles that come upon thee, for this thy golden time doth shine with splendour despite of such blemishes.",Despite of wrinkles this thy golden time.,despise the wrinkles not that come upon thee for this thy golden time doth shine with splendour despite of such blemishes,1.0,0.9975,0.1642,DP Reorderer
"Make sweet some vial, and treasure thou some place most dear wherein to keep it.",Make sweet some vial; treasure thou some place,make vial sweet and treasure some thou some place most dear wherein to keep it,1.0,0.9769,0.1227,DP Reorderer
"Thou shalt make sweet some vial, and treasure it within some place of thy choosing.",Make sweet some vial; treasure thou some place,thou shalt make vial sweet and treasure some it within some place of thy choosing,1.0,0.9869,0.1408,DP Reorderer
"Make some vial sweet, I prithee, and let treasure be kept in some place thou dost guard.",Make sweet some vial; treasure thou some place,make vial some prithee sweet and i let treasure be kept in some place thou dost guard,1.0,0.9892,0.1342,DP Reorderer
"Make thee another self, I do beseech thee, for the love of me, thy most devoted servant.","Make thee another self for love of me,",make thee another self i do beseech thee for the love of me thy most devoted servant,1.0,1.0,0.1784,DP Reorderer
"For love of me, I pray thee make thyself another self, that thou might'st be two in spirit.","Make thee another self for love of me,",for love of me i pray thee make another thyself self that thou mightst be two in spirit,1.0,0.9962,0.1614,DP Reorderer
"Make another self of thee, I do entreat, for love of me and all the tender affection I bear thee.","Make thee another self for love of me,",another make self of thee i entreat do for love of me and all the tender affection i bear thee,1.0,0.9739,0.1533,DP Reorderer
Let those whom nature hath not made for store abandon their vain pretensions and accept their fate.,"Let those whom nature hath not made for store,",let those whom nature hath not made for store abandon their vain pretensions and accept their fate,1.0,1.0,0.1507,DP Reorderer
"Those whom nature hath not made for store — let them depart, I say, for they were never fashioned by her hand for such purpose.","Let those whom nature hath not made for store,",those nature whom hath not made for store let them depart i say for they were never fashioned by her hand for such purpose,1.0,0.9818,0.1404,DP Reorderer
"Let us release those whom nature hath not made for store, for they shall never fulfill what was not given them at birth.","Let those whom nature hath not made for store,",let us release those nature whom hath not made for store for they shall never fulfill what was not given them at birth,1.0,0.9629,0.1434,DP Reorderer
"Which did erst canopy the herd from heat, as a protective shelter doth.","Which erst from heat did canopy the herd,",erst which the did herd from heat as a canopy protective shelter doth,1.0,0.9302,0.1114,DP Reorderer
From heat did that which erst canopy the herd with sheltering boughs.,"Which erst from heat did canopy the herd,",from heat did that erst which the herd with canopy sheltering boughs,1.0,0.9888,0.1176,DP Reorderer
"The herd, which erst did find canopy from heat, now lacks such protection.","Which erst from heat did canopy the herd,",the herd erst which did find from heat now canopy lacks such protection,1.0,0.9834,0.0993,DP Reorderer
"Not from the stars do I my judgement pluck, but rather from mine own discernment and reason.",Not from the stars do I my judgement pluck;,not from the stars do i my judgement pluck but rather from mine own discernment and reason,1.0,1.0,0.1375,DP Reorderer
"From the stars do I not pluck my judgement, for it springeth from within my own soul.",Not from the stars do I my judgement pluck;,the from stars do i not pluck judgement my for it springeth from within my own soul,1.0,0.9718,0.129,DP Reorderer
"My judgement do I not pluck from the stars, but it ariseth from the depths of mine own understanding.",Not from the stars do I my judgement pluck;,my judgement do i not pluck from the stars but it ariseth from the depths of mine own understanding,1.0,1.0,0.1554,DP Reorderer
"In their youthful sap do they vaunt most proudly, yet at the height of their glory shall they surely decrease.","Vaunt in their youthful sap, at height decrease,",in youthful their sap do vaunt they most proudly yet at the height of their glory shall they surely decrease,1.0,0.9772,0.1339,DP Reorderer
"At the height of their days, when youthful sap doth flow abundant, men vaunt themselves—but lo, they decrease in time.","Vaunt in their youthful sap, at height decrease,",the at height of their days when youthful sap doth flow abundant men vaunt themselvesbut lo they decrease in time,1.0,0.9925,0.1254,DP Reorderer
"They vaunt themselves whilst youthful sap remaineth in their limbs, yet at their height the decrease doth commence.","Vaunt in their youthful sap, at height decrease,",vaunt they themselves whilst youthful sap remaineth in their limbs yet at their height the decrease doth commence,1.0,0.9914,0.1228,DP Reorderer
Then doth the conceit of this inconstant stay possess thy troubled mind,Then the conceit of this inconstant stay,then doth conceit the of inconstant this possess stay thy troubled mind,1.0,0.9701,0.1232,DP Reorderer
"The conceit of this inconstant stay, then, doth vex thee with its fleeting nature",Then the conceit of this inconstant stay,conceit the of inconstant this stay then doth vex thee with its fleeting nature,1.0,0.9685,0.1308,DP Reorderer
Then shall the conceit of this most inconstant stay torment thy weary soul,Then the conceit of this inconstant stay,then shall conceit the of this most inconstant stay torment thy weary soul,1.0,0.9931,0.1228,DP Reorderer
"Which this thing, Time's pencil, or my pupil pen doth mark upon the page?","Which this, Time's pencil, or my pupil pen,",which this thing pencil times or pupil my pen doth mark upon the page,1.0,0.9856,0.1196,DP Reorderer
"This which Time's pencil hath drawn, or which my pupil pen doth write—which is it?","Which this, Time's pencil, or my pupil pen,",this which times pencil hath drawn or which my pupil pen doth writewhich is it,1.0,1.0,0.1282,DP Reorderer
"Which shall it be—this work of Time's pencil, or that which my pupil pen hath wrought?","Which this, Time's pencil, or my pupil pen,",which shall bethis it work of times pencil or that which my pupil pen hath wrought,1.0,0.9854,0.1205,DP Reorderer
"And perspective, it is the best painter's art, forsooth.",And perspective it is best painter's art.,and it perspective is the painters best art forsooth,1.0,0.9749,0.1245,DP Reorderer
"It is perspective, and the very best of all painter's art, I say.",And perspective it is best painter's art.,perspective it and is the very best of all painters art i say,1.0,0.9595,0.151,DP Reorderer
"And the best painter's art, in truth, it is perspective itself.",And perspective it is best painter's art.,and best the painters art in truth it is perspective itself,1.0,0.9801,0.1228,DP Reorderer
"The one doth labor by toil, whilst the other doth turn to complain.","The one by toil, the other to complain",the one doth labor by toil whilst the other doth turn to complain,1.0,1.0,0.1716,DP Reorderer
"One seeketh by toil to labor, the other to complain with grievous voice.","The one by toil, the other to complain",one seeketh by toil labor to the other to complain with grievous voice,1.0,0.9805,0.1473,DP Reorderer
"By toil the one is bound, yet the other chooseth but to complain.","The one by toil, the other to complain",by toil the one is bound the other yet chooseth but to complain,1.0,0.9741,0.1402,DP Reorderer
"Even so did my sun shine forth one early morn, with radiant splendor upon the breaking of day.","Even so my sun one early morn did shine,",so even did my sun shine forth one early morn with radiant splendor upon the breaking of day,1.0,0.9893,0.1482,DP Reorderer
"One early morn, even so, my sun did shine most brilliantly, as the dawn did break upon the world.","Even so my sun one early morn did shine,",one early even morn so my sun did shine most brilliantly as the dawn did break upon the world,1.0,0.9894,0.1447,DP Reorderer
"Thus did my sun, in one early morn, shine forth with glory, even so as the morning light did spill across the heavens.","Even so my sun one early morn did shine,",thus did my sun in early one morn shine forth with glory even so as the morning light did spill across the heavens,1.0,0.9973,0.1521,DP Reorderer
"I do most willingly forgive thy robbery, thou gentle thief, for thy manner is most courteous in thy transgression.","I do forgive thy robbery, gentle thief,",i do forgive most thy thou gentle willingly robbery thief for thy manner is most courteous in thy transgression,1.0,0.9822,0.131,DP Reorderer
"Thy robbery, though it be a crime most grievous, I do forgive thee, gentle thief that thou art, with a heart full of charity.","I do forgive thy robbery, gentle thief,",thy though it be a crime most grievous robbery i do forgive thee gentle thief that thou art with a heart full of charity,1.0,0.9944,0.1539,DP Reorderer
"Gentle thief, I do hereby forgive thee of thy robbery, for thy noble bearing doth move me to show thee mercy and grace.","I do forgive thy robbery, gentle thief,",thief gentle i hereby forgive do thee of thy robbery for thy noble bearing doth move me to show thee mercy and grace,1.0,0.9942,0.137,DP Reorderer
"The other two elements, being but slight air and purging fire, do constitute the heavens.","The other two, slight air, and purging fire",the other being two but slight air elements and purging fire do constitute the heavens,1.0,0.9573,0.1222,DP Reorderer
"Of the other two—that is to say, the slight air and the purging fire—what manner of consequence shall we make?","The other two, slight air, and purging fire",the other of twothat is to say the slight air and the purging firewhat manner of consequence shall we make,1.0,0.9961,0.1496,DP Reorderer
Consider the other two: the slight air and purging fire that doth cleanse all things with its ethereal flame.,"The other two, slight air, and purging fire",consider two the other slight the air and purging fire that doth cleanse all things with its ethereal flame,1.0,0.9692,0.1511,DP Reorderer
These present-absent do with swift motion slide most cunningly along.,These present-absent with swift motion slide.,presentabsent these do with swift motion slide cunningly most along,1.0,0.9873,0.1014,DP Reorderer
"With swift motion do these present-absent slide, being neither here nor there in their passage.",These present-absent with swift motion slide.,with motion swift do these presentabsent being slide neither here nor there in their passage,1.0,0.9859,0.1186,DP Reorderer
Behold how these present-absent slide with swift motion through the ethereal sphere.,These present-absent with swift motion slide.,behold how these presentabsent slide with motion swift through the ethereal sphere,1.0,0.9973,0.1187,DP Reorderer
"My heart doth plead most urgently that thou in him dost lie, and there remain.","My heart doth plead that thou in him dost lie,",my heart doth plead most that in thou him urgently dost lie and there remain,1.0,0.9851,0.1333,DP Reorderer
"That thou in him dost lie, my heart doth plead with all its force and passion.","My heart doth plead that thou in him dost lie,",that thou in him dost lie my heart doth plead with all its force and passion,1.0,1.0,0.1588,DP Reorderer
"Doth my heart plead that thou in him dost lie, a most earnest supplication.","My heart doth plead that thou in him dost lie,",doth my heart plead that thou in him dost lie a most earnest supplication,1.0,1.0,0.1548,DP Reorderer
"And my heart's right, for thy inward love of heart doth shine most true.","And my heart's right, thy inward love of heart.",and my hearts right for inward thy love of heart doth shine most true,1.0,0.9963,0.1273,DP Reorderer
"Thy inward love of heart, and my heart's right, art both most noble and sincere.","And my heart's right, thy inward love of heart.",thy inward love of heart and my hearts right art both most noble and sincere,1.0,1.0,0.1275,DP Reorderer
And my heart's right in this: that thy inward love of heart remaineth ever constant.,"And my heart's right, thy inward love of heart.",and my hearts right in this that inward thy love of heart remaineth ever constant,1.0,0.9964,0.1262,DP Reorderer
"Thou art the best of all that is most dearest unto me, and thou remainest mine only care in this world.","Thou best of dearest, and mine only care,",thou art the best of all that is most dearest unto me and thou remainest mine only care in this world,1.0,1.0,0.1791,DP Reorderer
"Of all the dearest souls that walk this earth, thou art the best, and mine only care doth rest upon thy shoulders.","Thou best of dearest, and mine only care,",of all the dearest souls that walk this earth thou art the best and mine only care doth rest upon thy shoulders,1.0,1.0,0.1952,DP Reorderer
"Thou, who art best among the dearest of my heart, art mine only care, and all my thoughts do turn to thee.","Thou best of dearest, and mine only care,",thou who art best among the dearest of my heart art mine only care and all my thoughts do turn to thee,1.0,1.0,0.1558,DP Reorderer
"Like stones of worth, they are placed most thinly and sparse, as gems arranged with deliberate scarcity upon a ground.","Like stones of worth they thinly placed are,",like stones of worth they are placed thinly most and sparse as gems arranged with deliberate scarcity upon a ground,1.0,0.998,0.1165,DP Reorderer
"They are positioned thinly, like stones of worth that doth sit scattered, each precious stone placed with worthy consideration.","Like stones of worth they thinly placed are,",they are positioned thinly like stones of worth that doth sit scattered each precious stone placed with worthy consideration,1.0,1.0,0.1245,DP Reorderer
"Thinly placed are they, like unto stones of worth, arranged as treasures distributed with sparing hand across the expanse.","Like stones of worth they thinly placed are,",placed thinly are they unto like stones of worth arranged as treasures distributed with sparing hand across the expanse,1.0,0.9859,0.1197,DP Reorderer
"Whether we are mended, or whether they be better in their estate and condition","whether we are mended, or whether better they,",we whether mended are or whether they be better in their estate and condition,1.0,0.9677,0.1433,DP Reorderer
"Whether we ourselves are mended and reformed, or whether it be they who are better constituted","whether we are mended, or whether better they,",we whether mended are reformed and or ourselves whether it be they who are better constituted,1.0,0.9533,0.1322,DP Reorderer
"Whether we are mended in our state, or whether better fortune doth attend upon they","whether we are mended, or whether better they,",we whether mended are in our state or whether better fortune doth attend upon they,1.0,0.984,0.1402,DP Reorderer
Doth my heavy eyelids now surrender to the weary night that cometh upon me?,My heavy eyelids to the weary night?,doth heavy my surrender now to eyelids the weary night that cometh upon me,1.0,0.9626,0.1368,DP Reorderer
"To the weary night do I yield my heavy eyelids, worn and sorrowful?",My heavy eyelids to the weary night?,the weary to night do i yield my heavy eyelids worn and sorrowful,1.0,0.9917,0.1221,DP Reorderer
"The weary night doth claim my heavy eyelids, and to it shall they fall?",My heavy eyelids to the weary night?,the weary night doth claim my heavy eyelids and to it shall they fall,1.0,1.0,0.1457,DP Reorderer
"It is so deeply grounded inward in the very chamber of my heart, where it doth lodge most firmly.",It is so grounded inward in my heart.,it deeply grounded inward is in so the very chamber of my heart where it doth lodge most firmly,1.0,0.9764,0.1466,DP Reorderer
"So grounded inward is it in my heart, that it hath taken root most profoundly within.",It is so grounded inward in my heart.,so grounded inward is in it my heart that it hath taken root most profoundly within,1.0,0.9821,0.1419,DP Reorderer
"In my heart it is so grounded inward, buried deep where no force shall ever dislodge it.",It is so grounded inward in my heart.,in my heart it is grounded inward so buried deep where no force shall ever dislodge it,1.0,0.988,0.1568,DP Reorderer
"And the purest faith, most unhappily forsworn by thee, doth grieve the soul.","And purest faith unhappily forsworn,",and faith the purest most by thee unhappily forsworn doth grieve the soul,1.0,0.9509,0.1585,DP Reorderer
"The purest faith, unhappily and most cruelly forsworn, doth lie in ruins.","And purest faith unhappily forsworn,",the purest faith and cruelly most unhappily forsworn doth lie in ruins,1.0,0.9934,0.1656,DP Reorderer
"And lo, the purest faith hath been unhappily forsworn, to our great woe.","And purest faith unhappily forsworn,",and lo the purest faith hath been unhappily forsworn to our great woe,1.0,1.0,0.1599,DP Reorderer
"And right perfection, which hath been wrongfully disgraced by villainous hands","And right perfection wrongfully disgraced,",and right perfection which hath been disgraced wrongfully by villainous hands,1.0,0.9976,0.1368,DP Reorderer
"Right perfection doth stand wrongfully disgraced, and thus is the truth corrupted","And right perfection wrongfully disgraced,",perfection right doth stand disgraced and wrongfully thus is the truth corrupted,1.0,0.9897,0.1344,DP Reorderer
"And so perfection, being right and true, is wrongfully disgraced in this world","And right perfection wrongfully disgraced,",and so perfection being right and true is wrongfully disgraced in this world,1.0,1.0,0.1503,DP Reorderer
"That every word doth almost tell my name, as though each utterance were a mirror held unto my very soul.","That every word doth almost tell my name,",that word doth tell my name as though each every almost utterance were a mirror held unto my very soul,1.0,0.9584,0.1432,DP Reorderer
"Every word that passeth from thy lips doth almost tell my name, so near the truth art thou in speech.","That every word doth almost tell my name,",word passeth that from thy lips doth tell every almost my name so near the truth art thou in speech,1.0,0.9629,0.1407,DP Reorderer
"That every word which doth issue forth almost tell my name, betraying thus the secrets of my heart.","That every word doth almost tell my name,",that word which issue doth forth tell my every almost name betraying thus the secrets of my heart,1.0,0.8801,0.1263,DP Reorderer
"Though I, once gone from this mortal realm, must die to all the world and be remembered no more;","Though I, once gone, to all the world must die:",though i once gone from mortal this realm must die to all the world and be remembered no more,1.0,0.9949,0.1433,DP Reorderer
"Though I must die to all the world once I am gone, yet shall my memory persist;","Though I, once gone, to all the world must die:",though i must die to all the world once i am gone yet shall my memory persist,1.0,1.0,0.1514,DP Reorderer
Though to all the world I must surely die once I am gone from hence;,"Though I, once gone, to all the world must die:",though to the all world i must surely die once i am gone from hence,1.0,0.9944,0.1551,DP Reorderer
"To every hymn that able spirit doth affords, most gracefully and willingly","To every hymn that able spirit affords,",to hymn affords that able spirit every doth most gracefully and willingly,1.0,0.938,0.1289,DP Reorderer
"Every hymn to which that able spirit affords itself, thou shalt attend with reverence","To every hymn that able spirit affords,",hymn to affords which able spirit every that itself thou shalt attend with reverence,1.0,0.9478,0.1273,DP Reorderer
To each and every hymn that any able spirit may affords unto thee with bounty,"To every hymn that able spirit affords,",to each and hymn that any able every spirit may affords unto thee with bounty,1.0,0.9867,0.1234,DP Reorderer
"He, that affable and familiar ghost, doth trouble thee not, nor any soul besides.","He, nor that affable familiar ghost",and he familiar that ghost trouble affable doth thee not nor any soul besides,1.0,0.9585,0.1165,DP Reorderer
"Neither he nor that most affable familiar ghost, which doth appear so courteous and near, shall haunt thee more.","He, nor that affable familiar ghost",he neither nor that most familiar affable ghost which doth appear so courteous and near shall haunt thee more,1.0,0.9922,0.1473,DP Reorderer
"That affable familiar ghost, he being no more, nor shall it visit thee—nay, not that ghost so friendly in its aspect.","He, nor that affable familiar ghost",familiar that ghost being he no affable more nor shall it visit theenay not that ghost so friendly in its aspect,1.0,0.9764,0.1271,DP Reorderer
"When other petty griefs have done their spite upon thee, and all their malice hath been spent","When other petty griefs have done their spite,",griefs other when have done upon their petty spite thee and all their malice hath been spent,1.0,0.9524,0.1313,DP Reorderer
"When other griefs, though petty in their nature, have done their spite and exhausted all their bitter force","When other petty griefs have done their spite,",griefs other when in though their nature petty have done their spite and exhausted all their bitter force,1.0,0.9576,0.1232,DP Reorderer
When all the other petty griefs have done their spite and finished with their vexing work complete,"When other petty griefs have done their spite,",the other when griefs all have done their petty spite and finished with their vexing work complete,1.0,0.9002,0.1333,DP Reorderer
"And having thee in my possession, of all men's pride do I boast most loudly and with great spirit.","And having thee, of all men's pride I boast:",and having thee in my possession of all mens pride do i boast most loudly and with great spirit,1.0,1.0,0.1436,DP Reorderer
"Of all men's pride, I boast exceedingly, and having thee doth make it so.","And having thee, of all men's pride I boast:",of all mens pride i having boast exceedingly and thee doth make it so,1.0,0.9886,0.1235,DP Reorderer
"Having thee at my side, I boast of all men's pride as mine own greatest treasure and joy.","And having thee, of all men's pride I boast:",thee having at my side i boast of all mens pride as mine own greatest treasure and joy,1.0,0.9925,0.1475,DP Reorderer
"Thou mayst be false, and yet I know it not, for thy deceit is hidden from mine eyes.","Thou mayst be false, and yet I know it not.",mayst thou be false and yet i know it not for thy deceit is hidden from mine eyes,1.0,0.9884,0.1656,DP Reorderer
"And yet I know it not, though thou mayst be false in thy heart and dealings.","Thou mayst be false, and yet I know it not.",and yet i know it not though thou mayst be false in thy heart and dealings,1.0,1.0,0.1536,DP Reorderer
"Thou mayst be false, I confess, and yet such falsehood I know it not, being blind to thy true nature.","Thou mayst be false, and yet I know it not.",mayst thou be false and i confess yet such falsehood i know it not being blind to thy true nature,1.0,0.9903,0.1505,DP Reorderer
"Though it doth to itself only live and die, spending all its days in solitary existence","Though to itself, it only live and die,",though it doth only to and live die itself spending all its days in solitary existence,1.0,0.9875,0.1388,DP Reorderer
"To itself alone it doth live and die, though it may endure, for only in its own company shall it pass away","Though to itself, it only live and die,",alone to it doth live and die though itself it may endure for only in its own company shall it pass away,1.0,0.9824,0.1683,DP Reorderer
"It shall to itself only live and die, though such a creature, bound unto itself, must inevitably expire","Though to itself, it only live and die,",it shall to only live and die though itself such a creature bound unto itself must inevitably expire,1.0,0.9853,0.1349,DP Reorderer
"To things translated into truths, and for those deemed to be true things.","To truths translated, and for true things deemed.",to things translated into truths and for those deemed to be true things,1.0,1.0,0.1622,DP Reorderer
"For true things deemed, and to truths that have been translated hither.","To truths translated, and for true things deemed.",for true things deemed and to truths that have been translated hither,1.0,1.0,0.127,DP Reorderer
"And for true things deemed worthy, to truths translated from their native form.","To truths translated, and for true things deemed.",and for true things deemed worthy to translated truths from their native form,1.0,0.9847,0.1254,DP Reorderer
"Where art thou, O Muse, that thou dost forgetest me so long in thy absence?","Where art thou Muse that thou forgetest so long,",where art thou o muse that thou dost forgetest me so long in thy absence,1.0,1.0,0.1639,DP Reorderer
"Say, where art thou, Muse, that thou forgetest thy poet so very long?","Where art thou Muse that thou forgetest so long,",say where art thou muse that forgetest thou thy poet so very long,1.0,0.9972,0.1367,DP Reorderer
"O tell me where art thou, Muse, seeing that thou forgetest us all so long?","Where art thou Muse that thou forgetest so long,",o tell me where art thou muse seeing that thou forgetest us all so long,1.0,1.0,0.1519,DP Reorderer
"In gentle numbers doth time pass away, so very idly spent and wasted thus;",In gentle numbers time so idly spent;,in gentle numbers doth time pass away so very idly spent and wasted thus,1.0,1.0,0.1275,DP Reorderer
"So idly hath time been in gentle numbers spent, and all thy hours consumed;",In gentle numbers time so idly spent;,so idly hath time been in gentle numbers spent and all thy hours consumed,1.0,1.0,0.1177,DP Reorderer
"Time, spent in gentle numbers, passeth so idly hence, and is most foolishly consumed;",In gentle numbers time so idly spent;,time spent in gentle numbers passeth so idly hence and is most foolishly consumed,1.0,1.0,0.1266,DP Reorderer
"Make answer, O Muse, I prithee: wilt thou not haply say unto me what I most desperately seek?","Make answer Muse: wilt thou not haply say,",make answer o muse i prithee wilt thou not haply say unto me what i most desperately seek,1.0,1.0,0.1409,DP Reorderer
"Wilt thou not haply make answer, dear Muse, and say what thy heart doth know?","Make answer Muse: wilt thou not haply say,",wilt thou haply not make answer dear and muse say what thy heart doth know,1.0,0.9796,0.1392,DP Reorderer
"Make thy answer known, sweet Muse, I do beseech thee: wilt thou not haply deign to say?","Make answer Muse: wilt thou not haply say,",make answer thy known sweet muse i beseech do thee wilt thou not haply deign to say,1.0,0.9849,0.153,DP Reorderer
"Which vulgar scandal hath been stamped upon my brow most cruelly, leaving its mark upon my very countenance.",Which vulgar scandal stamped upon my brow;,which vulgar scandal hath been stamped upon my brow most cruelly leaving its mark upon my very countenance,1.0,1.0,0.1616,DP Reorderer
"The which most vulgar scandal, being stamped upon my brow, doth serve as a shameful brand for all to witness.",Which vulgar scandal stamped upon my brow;,the which most vulgar scandal being stamped upon my brow doth serve as a shameful brand for all to witness,1.0,1.0,0.1451,DP Reorderer
"Upon my brow, I say, there is stamped a scandal most vulgar, which now remaineth there as a testament to my shame.",Which vulgar scandal stamped upon my brow;,upon my brow i say there is a stamped scandal most vulgar which now remaineth there as a testament to my shame,1.0,0.9933,0.1373,DP Reorderer
"Creating of every bad thing a perfect best, thou dost transform all imperfection into excellence most pure.","Creating every bad a perfect best,",creating of bad thing perfect a every best thou dost transform all imperfection into excellence most pure,1.0,0.9875,0.1325,DP Reorderer
"In creating, every bad and wretched thing doth become a perfect best through thy divine alchemy.","Creating every bad a perfect best,",in bad creating thing and wretched every doth become a perfect best through thy divine alchemy,1.0,0.9774,0.1207,DP Reorderer
"By creating, thou makest every bad to be a perfect best, transmuting darkness into the fairest light.","Creating every bad a perfect best,",creating by thou makest bad to every be a perfect best transmuting darkness into the fairest light,1.0,0.958,0.1479,DP Reorderer
"And when ruined love is built anew, it doth arise again from its ashes.","And ruined love, when it is built anew,",and ruined when love is anew built it doth arise again from its ashes,1.0,0.956,0.1356,DP Reorderer
"When love, though ruined, is built anew, and reconstructed by faithful hands, it shall endure.","And ruined love, when it is built anew,",when love though ruined is and built anew reconstructed by faithful hands it shall endure,1.0,0.9959,0.1138,DP Reorderer
"And love, though ruined and laid waste, when it is built anew shall flourish once more.","And ruined love, when it is built anew,",and ruined love and though laid waste when it is built anew shall flourish once more,1.0,0.9688,0.1347,DP Reorderer
"And rather make them to be born unto our desire, as creatures fashioned by our will.",And rather make them born to our desire,and rather make them to be unto born our desire as creatures fashioned by our will,1.0,0.9912,0.13,DP Reorderer
"Make them rather born to serve our desire, and so shall they come forth as we do wish.",And rather make them born to our desire,make rather them born to desire serve our and so shall they come forth as we do wish,1.0,0.9775,0.1402,DP Reorderer
"And rather shall we make them born to our desire, that they might answer to our wants.",And rather make them born to our desire,and rather shall we make them born to our desire that they might answer to our wants,1.0,1.0,0.1765,DP Reorderer
"Yet in good faith, I say that some do behold thee most clearly.","Yet, in good faith, some say that thee behold,",in yet good faith i say that some behold do thee most clearly,1.0,0.9488,0.1147,DP Reorderer
"Some say, in good faith, that they behold thee, and yet 'tis true.","Yet, in good faith, some say that thee behold,",some say in good faith that behold they thee and yet tis true,1.0,0.9703,0.1452,DP Reorderer
"In good faith, yet some there be that say they behold thee with their own eyes.","Yet, in good faith, some say that thee behold,",in good faith yet some there be that say they behold thee with their own eyes,1.0,1.0,0.1589,DP Reorderer
"And sue a friend who came to be my debtor for my sake, in that I did extend unto him kindness.",And sue a friend came debtor for my sake;,and sue a friend who came to be my debtor for my sake in that i did extend unto him kindness,1.0,1.0,0.1533,DP Reorderer
"A friend came unto me, and I did sue him for to be my debtor, all for my own sake and benefit.",And sue a friend came debtor for my sake;,a friend came unto me and i did sue him for to be my debtor all for my own sake and benefit,1.0,1.0,0.1736,DP Reorderer
"And there came a friend whom I did sue, making him my debtor, yet all was done for my sake alone.",And sue a friend came debtor for my sake;,and there a came friend whom i did sue making him my debtor yet all was done for my sake alone,1.0,0.9964,0.1363,DP Reorderer
"In faith, I do not love thee with mine eyes, but rather with a deeper affection that transcendeth mere sight.","In faith I do not love thee with mine eyes,",in faith i do not love thee with mine eyes but rather with a deeper affection that transcendeth mere sight,1.0,1.0,0.1702,DP Reorderer
"Verily, in faith, I say unto thee that with mine eyes alone do I not love thee, for my heart doth hold a truer regard.","In faith I do not love thee with mine eyes,",verily faith in i say unto thee that with mine eyes alone do i not love thee for my heart doth hold a truer regard,1.0,0.9903,0.1548,DP Reorderer
"I do confess in faith that 'tis not with mine eyes that I love thee, nay, but with mine soul's most earnest devotion.","In faith I do not love thee with mine eyes,",i do confess in faith that tis not with mine eyes that i love thee nay but with mine souls most earnest devotion,1.0,1.0,0.1617,DP Reorderer
The worser spirit hath a woman coloured most ill and foul.,The worser spirit a woman coloured ill.,the hath worser spirit most a woman coloured ill and foul,1.0,0.9741,0.1102,DP Reorderer
A woman coloured ill doth harbour the worser spirit within her breast.,The worser spirit a woman coloured ill.,a woman coloured harbour ill the doth worser spirit within her breast,1.0,0.9324,0.1136,DP Reorderer
"The spirit, being worser in its nature, hath coloured a woman most ill.",The worser spirit a woman coloured ill.,the spirit being its worser hath in nature coloured a woman most ill,1.0,0.9878,0.1173,DP Reorderer
"Shall worms, those inheritors of this most grievous excess, consume what remains?","Shall worms, inheritors of this excess,",shall worms inheritors those of this most grievous excess consume what remains,1.0,0.9917,0.124,DP Reorderer
"Shall the worms, inheritors as they are of this excess most foul, lay claim to thy mortal form?","Shall worms, inheritors of this excess,",the shall inheritors worms as they are of this excess most foul lay claim to thy mortal form,1.0,0.9807,0.1243,DP Reorderer
"Shall worms become the inheritors of all this excess, and feast upon thy corrupted flesh?","Shall worms, inheritors of this excess,",the shall inheritors worms become of all this excess and feast upon thy corrupted flesh,1.0,0.9822,0.123,DP Reorderer
