input,target
His tender heir might bear unto all men his memory most cherished and immortal.,His tender heir might bear his memory:
That tender heir of his might bear his memory forever in their heart and deed.,His tender heir might bear his memory:
"His memory, which his tender heir might bear with reverence, shall endure through ages.",His tender heir might bear his memory:
"Thou art thyself thy foe, and to thy sweet self thou art too cruel in thy dealings.","Thyself thy foe, to thy sweet self too cruel:"
"To thy own sweet self thou dost prove too cruel, being thyself thy very foe.","Thyself thy foe, to thy sweet self too cruel:"
Thyself thy foe—thus to thy sweet self art thou too cruel in this manner.,"Thyself thy foe, to thy sweet self too cruel:"
Where doth all the treasure of thy lusty days remain concealed?,Where all the treasure of thy lusty days;
"All the treasure of thy lusty days — where, prithee, doth it lie?",Where all the treasure of thy lusty days;
Where hath all the treasure of thy most lusty days been kept and stored?,Where all the treasure of thy lusty days;
"To say within thine own most deep and sunken eyes, what truth doth there conceal itself","To say, within thine own deep sunken eyes,"
"Within thine own deep sunken eyes, to say what mysteries and sorrows there do dwell","To say, within thine own deep sunken eyes,"
"To say what lies within thine own deep sunken eyes, those caverns dark and worn with grief","To say, within thine own deep sunken eyes,"
"It were an all-eating shame, and praise most thriftless, that doth consume all virtue.","Were an all-eating shame, and thriftless praise."
That which were an all-eating shame and thriftless praise would render thee most wretched.,"Were an all-eating shame, and thriftless praise."
"An all-eating shame it were, coupled with praise that is thriftless and doth squander all worth.","Were an all-eating shame, and thriftless praise."
And thou shalt see thy blood warm when thou feelest it grow cold.,And see thy blood warm when thou feelest it cold.
"See thy blood warm, I prithee, and yet when thou feelest it to be cold.",And see thy blood warm when thou feelest it cold.
"When thou feelest thy blood turning cold, and see how warm it doth remain.",And see thy blood warm when thou feelest it cold.
"If now thou dost not renewest the fresh repair of what is thine, whose beauty shall decay","Whose fresh repair if now thou not renewest,"
"Whose fresh repair, if thou renewest it not now, shall surely perish and be lost to time","Whose fresh repair if now thou not renewest,"
"If now thou not renewest what is thy fresh repair, whose glory shall fade and wither away","Whose fresh repair if now thou not renewest,"
"Thou dost beguile the world, and thereby unbless some mother of her rightful joy.","Thou dost beguile the world, unbless some mother."
Some mother dost thou unbless whilst thou beguile the world with thy false arts.,"Thou dost beguile the world, unbless some mother."
By thy deceptions dost thou beguile the world and unbless some mother most cruelly.,"Thou dost beguile the world, unbless some mother."
Or who is he so fond that he will be the tomb?,"Or who is he so fond will be the tomb,"
Or who is he that will be so fond as to be the tomb?,"Or who is he so fond will be the tomb,"
"Or who is he so fond of being the tomb, that he will be it?","Or who is he so fond will be the tomb,"
Of his self-love doth he wish to stop posterity?,Of his self-love to stop posterity?
"To stop posterity, his self-love—of what consequence is it?",Of his self-love to stop posterity?
"His self-love, whereby he doth of posterity seek to stop the course?",Of his self-love to stop posterity?
"Despite the wrinkles that doth mar thy countenance, this golden time of thine remaineth precious beyond measure.",Despite of wrinkles this thy golden time.
"This golden time of thine shall endure, despite of all the wrinkles that age may cruelly bestow upon thy form.",Despite of wrinkles this thy golden time.
"Despise not the wrinkles that come upon thee, for this thy golden time doth shine with splendour despite of such blemishes.",Despite of wrinkles this thy golden time.
Doth thy beauty's legacy rest upon thyself alone?,Upon thyself thy beauty's legacy?
Upon thyself art thou bearing thy beauty's most precious legacy?,Upon thyself thy beauty's legacy?
Thy beauty's legacy—upon thyself it doth remain and shine forevermore.,Upon thyself thy beauty's legacy?
"Thou profitless usurer, why dost thou use such vile practices upon thy fellow men?","Profitless usurer, why dost thou use"
"Why dost thou use thy talents for profit, thou most useless and profitless usurer?","Profitless usurer, why dost thou use"
"O profitless usurer, pray tell me—why dost thou use thy cunning in such barren ventures?","Profitless usurer, why dost thou use"
"Art thou possessed of so great a sum of sums, and yet canst thou not live thereby?","So great a sum of sums, yet canst not live?"
"Thou hast so great a sum of sums, and yet canst not live—how is this possible?","So great a sum of sums, yet canst not live?"
"So great a sum of sums doth thou command, yet still canst not live upon such wealth?","So great a sum of sums, yet canst not live?"
"Thou dost deceive thy sweet self of thyself, through thine own deception.",Thou of thyself thy sweet self dost deceive:
"Of thyself alone dost thou deceive thy sweet self, being the architect of thine own ruin.",Thou of thyself thy sweet self dost deceive:
"Thy sweet self thou dost deceive, of thyself through willful falsehood and self-wrought illusion.",Thou of thyself thy sweet self dost deceive:
"Make sweet some vial, and treasure thou some place most dear wherein to keep it.",Make sweet some vial; treasure thou some place
"Thou shalt make sweet some vial, and treasure it within some place of thy choosing.",Make sweet some vial; treasure thou some place
"Make some vial sweet, I prithee, and let treasure be kept in some place thou dost guard.",Make sweet some vial; treasure thou some place
That use which is not forbidden doth remain usury most lawful.,"That use is not forbidden usury,"
"Usury, when it is not forbidden, that use shall be deemed acceptable.","That use is not forbidden usury,"
"That use of lending, being not forbidden, is no usury in the sight of the law.","That use is not forbidden usury,"
Which happies those that do pay the willing loan with grateful hearts and ready hands;,Which happies those that pay the willing loan;
"Those that pay the willing loan are happies, which doth reward the generous and the true;",Which happies those that pay the willing loan;
"Which happies those poor souls that pay the willing loan, securing favour and good fortune;",Which happies those that pay the willing loan;
"Lo! when the gracious light doth rise in the orient, behold its splendour.",Lo! in the orient when the gracious light
"In the orient, lo! the gracious light doth break forth when morning comes.",Lo! in the orient when the gracious light
"When in the orient the gracious light appeareth, lo! what radiance it bringeth.",Lo! in the orient when the gracious light
"Yet still do mortal looks adore his beauty evermore, with unwavering devotion.","Yet mortal looks adore his beauty still,"
"His beauty doth remain the object which mortal looks adore, and yet they gaze still.","Yet mortal looks adore his beauty still,"
"And yet, though mortal looks adore his beauty ever constant, it endureth still.","Yet mortal looks adore his beauty still,"
"From his low tract thou must avert thy gaze and look another way, I prithee.","From his low tract, and look another way:"
"Look thee another way, I say, and turn from his low tract most carefully.","From his low tract, and look another way:"
Thou shalt from his low tract remove thyself and look another way forthwith.,"From his low tract, and look another way:"
"So thou, that dost thyself outgoing in thy noon, art carried forth beyond measure.","So thou, thyself outgoing in thy noon:"
"Thou thyself, in thy noon, dost go outgoing, and so art thou spent beyond thy time.","So thou, thyself outgoing in thy noon:"
"So is it, thyself outgoing in thy noon, that thou dost pass beyond thy proper season.","So thou, thyself outgoing in thy noon:"
Or dost thou else receivest with pleasure that which is thine annoy?,Or else receivest with pleasure thine annoy?
Or else receivest thou with such pleasure thine own annoy?,Or else receivest with pleasure thine annoy?
"Receivest thou else, with pleasure, thine annoy, or dost thou not?",Or else receivest with pleasure thine annoy?
When every private widow well may keep her own estate and substance without want or hindrance,When every private widow well may keep
When each and every widow of private station well may keep whatsoever doth belong to her,When every private widow well may keep
"When every widow, being private in her condition, well may keep and maintain all that is hers",When every private widow well may keep
For shame upon thee! Deny that thou bearest love to any creature beneath the heavens.,"For shame! deny that thou bearest love to any,"
"Fie, for very shame! That thou bearest love to any soul, I do beseech thee to deny it utterly.","For shame! deny that thou bearest love to any,"
"For shame, I say! Deny forthwith that thou bearest any love to whosoever or to any mortal being.","For shame! deny that thou bearest love to any,"
"Grant, I beseech thee, if thou wilt consent unto it, that thou art beloved of many a soul throughout the land.","Grant, if thou wilt, thou art beloved of many,"
"If thou wilt but grant me this truth, then surely thou art beloved of many, and this cannot be denied.","Grant, if thou wilt, thou art beloved of many,"
"Thou art beloved of many, grant me this—if thou wilt acknowledge it, then let it be so.","Grant, if thou wilt, thou art beloved of many,"
"For thou art so possessed with murderous hate, that thine every thought doth turn to blood and vengeance.","For thou art so possessed with murderous hate,"
"Thou art possessed so thoroughly with murderous hate, for thy soul hath been consumed by this darkest passion.","For thou art so possessed with murderous hate,"
"For so possessed art thou with murderous hate, that no mercy shall ever dwell within thy corrupted breast.","For thou art so possessed with murderous hate,"
Shall hate be fairer lodged than gentle love doth find its dwelling place?,Shall hate be fairer lodged than gentle love?
"Shall hate be fairer lodged within the heart than gentle love, that most benevolent of passions?",Shall hate be fairer lodged than gentle love?
"Shall hate, that vile corruption, be fairer lodged than gentle love, which is most pure and virtuous?",Shall hate be fairer lodged than gentle love?
"Make thee another self, I do beseech thee, for the love of me, thy most devoted servant.","Make thee another self for love of me,"
"For love of me, I pray thee make thyself another self, that thou might'st be two in spirit.","Make thee another self for love of me,"
"Make another self of thee, I do entreat, for love of me and all the tender affection I bear thee.","Make thee another self for love of me,"
"As fast as thou shalt wane in thy declining years, even so fast dost thou growest in the spring of thy youth.","As fast as thou shalt wane, so fast thou growest,"
"So fast thou growest in thy vigor, and yet as fast shalt thou wane when time doth claim thee for its own.","As fast as thou shalt wane, so fast thou growest,"
"For as fast as thou shalt wane when age doth steal upon thee, so fast thou growest now in the lusty days of thy prime.","As fast as thou shalt wane, so fast thou growest,"
"Without this folly, doth age and cold decay come upon thee.","Without this folly, age, and cold decay:"
"Age and cold decay shall surely come, unless thou dost embrace this folly without restraint.","Without this folly, age, and cold decay:"
This folly doth protect thee from age and the cold decay that cometh to all men without it.,"Without this folly, age, and cold decay:"
Let those whom nature hath not made for store abandon their vain pretensions and accept their fate.,"Let those whom nature hath not made for store,"
"Those whom nature hath not made for store — let them depart, I say, for they were never fashioned by her hand for such purpose.","Let those whom nature hath not made for store,"
"Let us release those whom nature hath not made for store, for they shall never fulfill what was not given them at birth.","Let those whom nature hath not made for store,"
"When I do count the clock that tells the time, methinks upon the passing hours most dear.","When I do count the clock that tells the time,"
"When I do count the clock that tells the time, what melancholy doth possess my soul.","When I do count the clock that tells the time,"
"When I do count the clock that tells the time, I am most grievously reminded of mortality.","When I do count the clock that tells the time,"
"Which did erst canopy the herd from heat, as a protective shelter doth.","Which erst from heat did canopy the herd,"
From heat did that which erst canopy the herd with sheltering boughs.,"Which erst from heat did canopy the herd,"
"The herd, which erst did find canopy from heat, now lacks such protection.","Which erst from heat did canopy the herd,"
"Then do I make a question of thy beauty, seeking to understand its nature.","Then of thy beauty do I question make,"
"Then of thy beauty do I make question, pondering its worth and excellence.","Then of thy beauty do I question make,"
"Then do I question make of thy beauty, doubting whether such perfection can be real.","Then of thy beauty do I question make,"
"That thou must go among the wastes of time, as all things mortal do.","That thou among the wastes of time must go,"
"Among the wastes of time must thou go, for such is the decree that all flesh shall wander.","That thou among the wastes of time must go,"
"Thou shalt go among the wastes of time, that inexorable journey which all must undertake.","That thou among the wastes of time must go,"
"Not from the stars do I my judgement pluck, but rather from mine own discernment and reason.",Not from the stars do I my judgement pluck;
"From the stars do I not pluck my judgement, for it springeth from within my own soul.",Not from the stars do I my judgement pluck;
"My judgement do I not pluck from the stars, but it ariseth from the depths of mine own understanding.",Not from the stars do I my judgement pluck;
"And yet, methinks I have studied well the astronomy of the heavens above.","And yet methinks I have astronomy,"
"Methinks, and yet I have some knowledge of astronomy, forsooth.","And yet methinks I have astronomy,"
And yet I do confess that methinks I have astronomy within my learned breast.,"And yet methinks I have astronomy,"
"And in them do I read such art as constant stars do hold, wherein their constancy doth shine with artful light eternal.",And constant stars in them I read such art
"In them I read such constant art as stars do bear, and there discover I the starry constant wisdom writ in heavenly characters.",And constant stars in them I read such art
"Such art do I read and find constant within them, even as the stars hold constant their celestial art in the vault of night.",And constant stars in them I read such art
"Whereon the stars do in secret influence comment, most mysteriously upon thy fate;",Whereon the stars in secret influence comment;
The stars in secret influence do comment and speak upon that whereon all things depend;,Whereon the stars in secret influence comment;
In secret influence the stars do comment upon whereon the very heavens turn their gaze;,Whereon the stars in secret influence comment;
"In their youthful sap do they vaunt most proudly, yet at the height of their glory shall they surely decrease.","Vaunt in their youthful sap, at height decrease,"
"At the height of their days, when youthful sap doth flow abundant, men vaunt themselves—but lo, they decrease in time.","Vaunt in their youthful sap, at height decrease,"
"They vaunt themselves whilst youthful sap remaineth in their limbs, yet at their height the decrease doth commence.","Vaunt in their youthful sap, at height decrease,"
Then doth the conceit of this inconstant stay possess thy troubled mind,Then the conceit of this inconstant stay
"The conceit of this inconstant stay, then, doth vex thee with its fleeting nature",Then the conceit of this inconstant stay
Then shall the conceit of this most inconstant stay torment thy weary soul,Then the conceit of this inconstant stay
"Which this thing, Time's pencil, or my pupil pen doth mark upon the page?","Which this, Time's pencil, or my pupil pen,"
"This which Time's pencil hath drawn, or which my pupil pen doth write—which is it?","Which this, Time's pencil, or my pupil pen,"
"Which shall it be—this work of Time's pencil, or that which my pupil pen hath wrought?","Which this, Time's pencil, or my pupil pen,"
And the stretched metre of an antique song doth reach across the ages,And stretched metre of an antique song:
"The metre, stretched and ancient, of an antique song doth speak to thee",And stretched metre of an antique song:
And there the stretched and stately metre of an antique song doth linger still,And stretched metre of an antique song:
Thou art a creature far more lovely and exceeding temperate in all thy qualities.,Thou art more lovely and more temperate:
"More lovely dost thou appear, and more temperate art thou than any other being.",Thou art more lovely and more temperate:
"Thou, in thy person, art more lovely than words can express, and withal more temperate in thy nature.",Thou art more lovely and more temperate:
"So long as men do breathe, or eyes can see the light of day, shall it endure.","So long as men can breathe, or eyes can see,"
